券商買賣股票成交價量資訊
股票代碼,="1515"
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1021合庫台中,70.10,1000,0,,2,1021合庫台中,70.20,2000,0 
3,104A臺銀臺中,70.00,1000,0,,4,104A臺銀臺中,70.30,1000,0 
5,104C臺銀高雄,70.10,1000,0,,6,1110企    銀,70.00,0,4000 
7,1115企銀太平,70.10,0,1000,,8,1162日盛台南,70.00,1000,0 
9,1162日盛台南,70.10,1000,0,,10,1166日盛雙和,70.00,1000,0 
11,116C日盛八德,70.00,10000,0,,12,116C日盛八德,70.10,10000,0 
13,116C日盛八德,70.30,2000,0,,14,116C日盛八德,70.40,2000,0 
15,116C日盛八德,70.50,2000,0,,16,116J日盛中山,70.00,0,9000 
17,116J日盛中山,70.10,0,1000,,18,116N日盛永康,70.00,1000,0 
19,1233彰銀台中,70.00,3000,0,,20,1233彰銀台中,70.40,2000,0 
21,1260宏    遠,70.30,0,1000,,22,1440美林,69.90,0,4000 
23,1440美林,70.10,0,1000,,24,1440美林,70.30,0,4000 
25,1470台灣摩根,69.90,11000,0,,26,1470台灣摩根,70.10,0,2000 
27,1470台灣摩根,70.30,0,1000,,28,1470台灣摩根,70.50,0,3000 
29,1480美商高盛,70.00,0,1000,,30,1480美商高盛,70.10,0,15000 
31,1480美商高盛,70.20,0,1000,,32,1480美商高盛,70.30,2000,1000 
33,1480美商高盛,70.40,0,1000,,34,1480美商高盛,70.50,0,1000 
35,1480美商高盛,70.60,1000,0,,36,1480美商高盛,71.00,1000,0 
37,1520瑞士信貸,70.00,0,11000,,38,1520瑞士信貸,70.10,0,9000 
39,1520瑞士信貸,70.20,0,5000,,40,1560港商野村,69.90,0,3000 
41,1560港商野村,70.00,0,7000,,42,1560港商野村,70.10,6000,7000 
43,1560港商野村,70.20,0,4000,,44,1560港商野村,70.30,0,4000 
45,1560港商野村,70.50,0,1000,,46,1590花旗環球,70.20,0,1000 
47,1590花旗環球,70.30,0,2000,,48,1650瑞銀,69.90,0,2000 
49,1650瑞銀,70.00,0,2000,,50,1650瑞銀,70.10,0,2000 
51,1650瑞銀,70.30,0,2000,,52,1650瑞銀,70.40,0,1000 
53,1650瑞銀,70.60,0,1000,,54,2181亞東板橋,70.00,2000,0 
55,5387第一澎湖,70.20,0,2000,,56,538N第一豐原,70.00,1000,0 
57,538N第一豐原,70.10,1000,0,,58,538W第一華江,70.00,1000,0 
59,5855統一台南,70.10,10000,0,,60,5855統一台南,70.20,10000,0 
61,5856統一台中,70.00,3000,3000,,62,5856統一台中,70.10,1000,0 
63,5858統一嘉義,70.20,2000,0,,64,585D統一新台中,70.00,5000,0 
65,585D統一新台中,70.40,1000,0,,66,585F統一彰化,70.20,1000,0 
67,585I統一員林,70.00,0,1000,,68,585I統一員林,70.60,1000,0 
69,585M統一士林,70.10,1000,0,,70,585S統一宜蘭,70.50,2000,0 
71,5920元    富,70.10,0,24000,,72,5925元富台中,70.50,0,1000 
73,592l元富大裕,70.00,5000,0,,74,592n元富西松,70.10,1000,0 
75,592Y元富埔里,70.10,1000,0,,76,592Y元富埔里,70.30,0,1000 
77,5960日    茂,70.30,2000,0,,78,6114中銀員林,70.20,1000,0 
79,611A中銀豐原,70.20,1000,0,,80,611A中銀豐原,70.30,1000,0 
81,6164中信託文,70.00,4000,0,,82,6380光    和,70.30,0,1000 
83,6450永    全,70.10,1000,0,,84,7003兆豐台中,70.10,0,1000 
85,7003兆豐台中,70.20,4000,0,,86,7009兆豐景美,70.00,1000,0 
87,700g兆豐南門,70.00,1000,0,,88,700I兆豐北高,70.10,3000,0 
89,700N兆豐埔墘,70.00,1000,0,,90,700N兆豐埔墘,70.20,0,1000 
91,7036致和高雄,70.50,0,1000,,92,779e國票南科,70.10,1000,0 
93,779G國票新莊,70.00,1000,0,,94,779m國票中港,70.10,2000,0 
95,779v國票台中,70.40,0,3000,,96,779v國票台中,70.50,0,1000 
97,779v國票台中,70.60,0,2000,,98,779W國票彰化,70.40,1000,0 
99,8150台    新,70.00,1000,0,,100,8150台    新,70.30,1000,0 
101,8156台新三民,70.10,1000,0,,102,815A台新高雄,70.10,0,1000 
103,815B台新台中,70.30,1000,0,,104,815B台新台中,70.50,0,3000 
105,815B台新台中,70.80,0,549,,106,8440摩根大通,69.90,0,2000 
107,8440摩根大通,70.00,2000,8000,,108,8440摩根大通,70.10,8000,8000 
109,8440摩根大通,70.20,4000,4000,,110,8440摩根大通,70.30,16000,9000 
111,8440摩根大通,70.40,2000,5000,,112,8440摩根大通,70.50,2000,6000 
113,8440摩根大通,71.00,0,1000,,114,8455康和台中,70.30,0,1000 
115,8455康和台中,71.00,1000,0,,116,845D康和板橋,70.80,0,82 
117,845D康和板橋,70.90,0,95,,118,845X康和屏東,70.00,0,1000 
119,8560新    光,70.10,1000,0,,120,8560新    光,70.80,250,0 
121,8561新光台中,70.00,2000,0,,122,8561新光台中,70.10,1000,0 
123,8561新光台中,70.80,50,0,,124,8562新光高雄,70.80,0,385 
125,8563新光新竹,70.00,1000,0,,126,8563新光新竹,70.10,1000,0 
127,8564新光台南,70.30,0,1000,,128,8580聯    邦,70.00,2000,0 
129,8710陽   信,70.00,0,10000,,130,8710陽   信,70.20,0,10000 
131,8848玉山嘉義,70.30,1000,0,,132,884B玉山台中,70.10,1000,0 
133,884E玉山城中,70.10,0,1000,,134,884F玉山桃園,70.00,0,2000 
135,884F玉山桃園,70.20,0,1000,,136,8886國泰新莊,70.20,1000,1000 
137,8887國泰忠孝,70.60,0,2000,,138,8888國泰敦南,70.00,1000,0 
139,8888國泰敦南,70.20,1000,0,,140,8888國泰敦南,70.30,0,1000 
141,8888國泰敦南,70.90,100,0,,142,888K國泰板橋,70.00,0,2000 
143,888K國泰板橋,70.20,1000,0,,144,888K國泰板橋,70.50,42,0 
145,888K國泰板橋,70.90,21,0,,146,9131群益民權,70.00,1000,0 
147,9131群益民權,70.20,1000,0,,148,9131群益民權,70.30,0,1000 
149,9137群益士林,70.10,1000,0,,150,913D群益潭子,70.00,1000,0 
151,9186群益新竹,70.60,1000,0,,152,918x群益延平,70.10,0,1000 
153,9200凱基,70.10,0,1000,,154,9202凱基中港,70.10,1000,0 
155,9202凱基中港,70.50,2000,0,,156,9206凱基高雄,70.00,1000,0 
157,9207凱基永和,70.00,1000,0,,158,920F凱基站前,70.10,1000,0 
159,920V凱基新店,70.20,0,2000,,160,920V凱基新店,70.30,0,4000 
161,9217凱基松山,70.00,1000,0,,162,9217凱基松山,70.20,0,1000 
163,921Y凱基東勢,70.20,1000,0,,164,9268凱基台北,70.10,2000,3000 
165,9268凱基台北,70.20,1000,0,,166,9268凱基台北,70.30,3000,1000 
167,9268凱基台北,70.50,1000,0,,168,9285凱基中壢,70.00,1000,0 
169,9302華南台中,70.00,1000,0,,170,9302華南台中,70.10,2000,0 
171,9334華南世貿,70.50,1000,0,,172,9347華南敦南,70.30,1000,1000 
173,9359華南中正,70.30,0,2000,,174,9363華南彰化,70.40,1000,0 
175,9600富邦,70.90,0,51,,176,9647富邦新竹,70.20,3000,0 
177,9655富邦板橋,70.90,0,63,,178,965U富邦彰化,70.20,1000,0 
179,9661富邦新店,70.00,3000,0,,180,9661富邦新店,70.80,125,0 
181,9663富邦敦南,70.20,0,1000,,182,9666富邦南屯,70.00,1000,0 
183,9692富邦嘉義,70.20,0,1000,,184,980C元大斗六,70.10,2000,0 
185,980C元大斗六,70.20,0,1000,,186,980D元大開元,70.50,0,500 
187,980e元大清水,70.40,1000,0,,188,980K元大竹科,70.50,9,0 
189,980K元大竹科,70.80,91,0,,190,980Q元大南崁,70.00,5000,0 
191,980Q元大南崁,70.30,0,2000,,192,981A元大鶯歌,70.30,0,1000 
193,981g元大大里,70.00,4000,0,,194,981g元大大里,70.10,5000,0 
195,981g元大大里,70.20,1000,0,,196,981g元大大里,71.00,0,1000 
197,981Q元大太平,70.00,3000,0,,198,981R元大竹山,70.00,0,5000 
199,981S元大崇德,70.90,38,0,,200,981z元大大統,70.00,1000,0 
201,9824元大向上,70.20,0,2000,,202,982B元大博愛,70.00,1000,0 
203,982C元大六合,70.20,1000,0,,204,982C元大六合,70.40,1000,0 
205,9834元大中壢,70.30,1000,0,,206,983W元大德芳,70.00,6000,0 
207,983W元大德芳,70.50,1000,0,,208,983Z元大鳳山,70.00,1000,0 
209,983Z元大鳳山,70.10,1000,0,,210,9852元大永春,70.30,0,1000 
211,9853元大南屯,70.10,11000,11000,,212,9856元大花蓮,70.20,1000,0 
213,9858元大龍潭,70.10,0,3000,,214,9862元大南京,70.20,1000,0 
215,9875元大永寧,70.00,1000,0,,216,9875元大永寧,70.10,2000,0 
217,9891元大永和,70.10,3000,0,,218,9892元大屏東,70.50,449,0 
219,9894元大桃興,70.00,1000,0,,220,989B元大中港,70.10,1000,0 
221,989B元大中港,70.80,500,0,,222,989E元大草屯,70.30,0,1000 
223,989E元大草屯,70.40,1000,0,,224,989J元大彰生,70.00,1000,0 
225,989Q元大汐止,70.10,2000,0,,226,989S元大鹿港,70.40,0,1000 
227,989U元大大甲,70.90,50,0,,228,9A00永豐金,70.00,3000,24000 
229,9A00永豐金,70.10,3000,0,,230,9A00永豐金,70.20,15000,16000 
231,9A00永豐金,70.30,10000,0,,232,9A00永豐金,70.40,3000,4000 
233,9A00永豐金,70.50,23000,17000,,234,9A00永豐金,70.60,11000,9000 
235,9A00永豐金,70.80,8000,8000,,236,9A00永豐金,70.90,6000,6000 
237,9A00永豐金,71.00,14000,14000,,238,9A91永豐松山,70.00,1000,0 
239,9A9C永豐員林,70.30,1000,0,,240,9A9W永豐市政,70.10,1000,0 
