Date,Close,High,Low,Open,Unnamed: 0,Volume,ma10,ma20,ma5,成交筆數,成交金額,漲跌價差
110/03/02,609.0,622.0,609.0,621.0,0.0,57792973,,,,71325,35565213485,+3.00
110/03/03,622.0,622.0,601.0,609.0,1.0,61171387,,,,57677,37550028241,+13.00
110/03/04,601.0,611.0,601.0,609.0,2.0,75508388,,,,143916,45662897489,-21.00
110/03/05,601.0,605.0,584.0,588.0,3.0,85579527,,,,127693,50968119396,0.00
110/03/08,598.0,610.0,598.0,608.0,4.0,47676630,,,606.2,84570,28737004484,-3.00
110/03/09,595.0,595.0,585.0,585.0,5.0,74471341,,,603.4,119867,43957092621,-3.00
110/03/10,597.0,601.0,593.0,601.0,6.0,41735443,,,598.4,54196,24904320192,+2.00
110/03/11,609.0,612.0,595.0,596.0,7.0,55462783,,,600.0,47948,33584884382,+12.00
110/03/12,614.0,618.0,609.0,615.0,8.0,33876990,,,602.6,36145,20780886905,+5.00
110/03/15,611.0,614.0,609.0,614.0,9.0,29767904,605.7,,605.2,26753,18194081208,-3.00
110/03/16,613.0,613.0,607.0,610.0,10.0,37780820,606.1,,608.8,37573,23074187740,+2.00
110/03/17,604.0,612.0,602.0,612.0,11.0,43942131,604.3,,610.2,68585,26638906800,X0.00
110/03/18,602.0,609.0,602.0,606.0,12.0,30223846,604.4,,608.8,31677,18286667342,-2.00
110/03/19,591.0,598.0,591.0,594.0,13.0,74960854,603.4,,604.2,106938,44407634402,-11.00
110/03/22,593.0,598.0,586.0,588.0,14.0,35931375,602.9,,600.6,55005,21250445678,+2.00
110/03/23,594.0,603.0,593.0,597.0,15.0,31933358,602.8,,596.8,36423,19057386513,+1.00
110/03/24,576.0,582.0,571.0,571.0,16.0,115318351,600.7,,591.2,242138,66559451738,-18.00
110/03/25,575.0,581.0,570.0,572.0,17.0,74225812,597.3,,585.8,115951,42594849855,-1.00
110/03/26,590.0,592.0,580.0,582.0,18.0,37937242,594.9,,585.6,49718,22271364837,+15.00
110/03/29,599.0,602.0,596.0,599.0,19.0,40573913,593.7,599.7,586.8,44500,24302039570,+9.00
110/03/30,597.0,600.0,592.0,600.0,20.0,34686346,592.1,599.1,587.4,46755,20661203325,-2.00
110/03/31,587.0,597.0,587.0,596.0,21.0,44454672,590.4,597.35,589.6,70527,26217366895,-10.00
110/04/01,602.0,602.0,594.0,598.0,,45972766,590.4,597.4,595.0,48170,27520742963,15.0
110/04/06,610.0,616.0,608.0,615.0,,37664216,592.3,597.85,599.0,42422,23045132094,8.0
110/04/07,610.0,614.0,608.0,614.0,,28140964,594.0,598.45,601.2,28395,17175949080,0.0
110/04/08,613.0,613.0,603.0,606.0,,26658283,595.9,599.35,604.4,32098,16217570357,3.0
110/04/09,610.0,618.0,609.0,618.0,,31601619,599.3,600.0,609.0,28920,19344167081,-3.0
110/04/12,605.0,613.0,603.0,612.0,,23319822,602.3,599.8,609.6,33422,14155495430,-5.0
110/04/13,605.0,613.0,604.0,604.0,,27386926,603.8,599.35,608.6,30438,16638680378,0.0
110/04/14,612.0,612.0,600.0,608.0,,31144922,605.1,599.4,609.0,41234,18868308243,7.0
110/04/15,619.0,619.0,607.0,612.0,,36394255,607.3,599.7,610.2,40541,22332532476,7.0
110/04/16,610.0,611.0,603.0,610.0,,49952191,609.6,600.0,610.2,67601,30335377876,-9.0
110/04/19,603.0,607.0,601.0,605.0,,25234976,609.7,600.05,609.8,43094,15224292755,-7.0
110/04/20,602.0,602.0,595.0,598.0,,36655069,608.9,600.6,609.2,54247,21969721089,-1.0
110/04/21,592.0,599.0,592.0,599.0,,41893725,607.1,600.55,605.2,92840,24933016553,-10.0
110/04/22,591.0,598.0,591.0,596.0,,38094824,604.9,600.4,599.6,64897,22626436436,-1.0
110/04/23,602.0,602.0,590.0,592.0,,29004756,604.1,601.7,598.0,29147,17336162729,11.0
110/04/26,610.0,610.0,603.0,605.0,,32426908,604.6,603.45,599.4,35286,19673836650,8.0
110/04/27,610.0,611.0,605.0,608.0,,26761401,605.1,604.45,601.0,25203,16274064043,0.0
110/04/28,602.0,608.0,601.0,606.0,,24601487,604.1,604.6,603.0,32198,14833592900,-8.0
110/04/29,600.0,609.0,600.0,609.0,,35756460,602.2,604.75,604.8,30756,21579514979,-2.0
110/05/03,588.0,597.0,588.0,595.0,,46801189,600.0,604.8,602.0,104468,27676378065,-12.0
110/05/04,591.0,594.0,582.0,588.0,,45507479,598.8,604.25,598.2,69833,26756714081,3.0
110/05/05,585.0,594.0,585.0,594.0,,31786592,597.1,603.0,593.2,52496,18603594408,-6.0
110/05/06,587.0,590.0,580.0,590.0,,33165446,596.6,601.85,590.2,69578,19405281385,2.0
110/05/07,599.0,600.0,589.0,594.0,,28719597,597.4,601.15,590.0,30063,17131817777,12.0
110/05/10,589.0,597.0,588.0,596.0,,21365583,596.1,600.1,590.2,43154,12626811276,-10.0
110/05/11,571.0,580.0,570.0,579.0,,66035839,592.2,598.4,586.2,184838,37939364597,-18.0
110/05/12,560.0,571.0,518.0,567.0,,138328672,587.2,596.15,581.2,223058,76325765887,-11.0
110/05/13,547.0,563.0,541.0,547.0,,71519430,581.7,592.9,573.2,105026,39495488180,-13.0
110/05/14,557.0,562.0,552.0,556.0,,38625148,577.4,589.8,564.8,52919,21474513930,10.0
110/05/17,549.0,558.0,541.0,544.0,,58446847,573.5,586.75,556.8,76808,32066868553,-8.0
110/05/18,572.0,573.0,555.0,563.0,,44584258,571.6,585.2,557.0,52152,25226153189,23.0
110/05/19,567.0,572.0,565.0,571.0,,29610174,569.8,583.45,558.4,34443,16832735286,-5.0
110/05/20,567.0,571.0,560.0,567.0,,36605692,567.8,582.2,562.4,32301,20670883290,0.0
110/05/21,573.0,577.0,568.0,572.0,,28009899,565.2,581.3,565.6,27050,16016851343,6.0
110/05/24,568.0,572.0,566.0,570.0,,15981036,563.1,579.6,569.4,20189,9090836697,-5.0
110/05/25,583.0,584.0,573.0,576.0,,35445350,564.3,578.25,571.6,39032,20525932956,15.0
110/05/26,585.0,588.0,581.0,587.0,,19555305,566.8,577.0,575.2,21034,11433686898,2.0
110/05/27,582.0,582.0,573.0,580.0,,70061002,570.3,576.0,578.2,37545,40643804852,-3.0
110/05/28,590.0,592.0,582.0,587.0,,30720737,573.6,575.5,581.6,31581,18082265480,8.0
110/05/31,597.0,597.0,590.0,595.0,,31557426,578.4,575.95,587.4,29798,18751716595,7.0
110/06/01,598.0,599.0,595.0,598.0,,18405285,581.0,576.3,590.4,20318,10985893229,+1.00
110/06/02,595.0,600.0,593.0,600.0,,22416789,583.8,576.8,592.4,25170,13362065937,-3.00
110/06/03,596.0,600.0,596.0,600.0,,31703679,586.7,577.25,595.2,20749,18939839664,+1.00
110/06/04,595.0,595.0,590.0,591.0,,16072580,588.9,577.05,596.2,19112,9521252157,-1.00
110/06/07,592.0,595.0,583.0,594.0,,17729179,591.3,577.2,595.2,25364,10471176330,-3.00
110/06/08,589.0,595.0,588.0,590.0,,14083552,591.9,578.1,593.4,14051,8312653665,-3.00
110/06/09,586.0,588.0,583.0,586.0,,21575159,592.0,579.4,591.6,36405,12618113390,-3.00
110/06/10,599.0,599.0,587.0,591.0,,29741770,593.7,582.0,592.2,30487,17696413894,+13.00
110/06/11,602.0,603.0,600.0,602.0,,24940705,594.9,584.25,593.6,25271,15011140567,+3.00
110/06/15,609.0,609.0,606.0,607.0,,30245897,596.1,587.25,597.0,33515,18415370774,+7.00
110/06/16,605.0,608.0,605.0,608.0,,28624508,596.8,588.9,600.2,25816,17401326587,-4.00
110/06/17,606.0,606.0,598.0,601.0,,26477032,597.9,590.85,604.2,21061,15924656516,X0.00
110/06/18,603.0,608.0,601.0,608.0,,42036170,598.6,592.65,605.0,16899,25373026235,-3.00
110/06/21,583.0,594.0,583.0,590.0,,47339695,597.4,593.15,601.2,109204,27749202661,-20.00
110/06/22,578.0,588.0,578.0,585.0,,30578091,596.0,593.65,595.0,56057,17786329582,-5.00
110/06/23,595.0,598.0,581.0,583.0,,36386023,596.6,594.25,593.0,34454,21500052844,+17.00
110/06/24,590.0,598.0,588.0,598.0,,19322765,597.0,594.5,589.8,18494,11435647488,-5.00
110/06/25,591.0,598.0,589.0,598.0,,19140086,596.2,594.95,587.4,16850,11355715486,+1.00
110/06/28,590.0,590.0,586.0,590.0,,15401977,595.0,594.95,588.8,20825,9056869217,-1.00
110/06/29,595.0,598.0,591.0,598.0,,30837548,593.6,594.85,592.2,24078,18350027611,+5.00
