"日期","收市","開市","高","低","成交量","更改%"
"2021年9月24日","4,455.48","4,438.04","4,463.12","4,430.27","-","0.15%"
"2021年9月23日","4,448.98","4,406.75","4,465.40","4,406.75","-","1.21%"
"2021年9月22日","4,395.64","4,367.43","4,416.75","4,367.43","-","0.95%"
"2021年9月21日","4,354.18","4,374.45","4,394.87","4,347.96","-","-0.08%"
"2021年9月20日","4,357.73","4,402.95","4,402.95","4,305.91","-","-1.70%"
"2021年9月17日","4,432.99","4,469.74","4,471.52","4,427.76","-","-0.91%"
"2021年9月16日","4,473.76","4,477.09","4,485.87","4,443.80","-","-0.15%"
"2021年9月15日","4,480.70","4,447.49","4,486.87","4,438.37","-","0.85%"
"2021年9月14日","4,443.05","4,479.33","4,485.68","4,435.46","-","-0.57%"
"2021年9月13日","4,468.73","4,474.81","4,492.99","4,445.70","-","0.23%"
"2021年9月10日","4,458.58","4,506.92","4,520.47","4,457.66","-","-0.77%"
"2021年9月9日","4,493.28","4,513.02","4,529.90","4,492.07","-","-0.46%"
"2021年9月8日","4,514.07","4,518.09","4,521.79","4,493.95","-","-0.13%"
"2021年9月7日","4,520.03","4,535.38","4,535.38","4,513.00","-","-0.34%"
"2021年9月3日","4,535.43","4,532.42","4,541.45","4,521.30","-","-0.03%"
"2021年9月2日","4,536.95","4,534.48","4,545.85","4,524.66","-","0.28%"
"2021年9月1日","4,524.09","4,528.80","4,537.11","4,522.02","-","0.03%"
"2021年8月31日","4,522.68","4,529.75","4,531.39","4,515.80","-","-0.13%"
"2021年8月30日","4,528.79","4,513.76","4,537.36","4,513.76","-","0.43%"
"2021年8月27日","4,509.37","4,474.10","4,513.33","4,474.10","-","0.88%"
"2021年8月26日","4,469.91","4,493.75","4,495.90","4,468.99","-","-0.58%"
"2021年8月25日","4,496.19","4,490.45","4,501.71","4,485.66","-","0.22%"
"2021年8月24日","4,486.23","4,484.40","4,492.81","4,482.28","-","0.15%"
"2021年8月23日","4,479.54","4,450.29","4,489.88","4,450.29","-","0.85%"
"2021年8月20日","4,441.67","4,410.56","4,444.35","4,406.80","-","0.81%"
"2021年8月19日","4,405.80","4,382.44","4,418.61","4,367.73","-","0.13%"
"2021年8月18日","4,400.27","4,440.94","4,454.32","4,397.59","-","-1.07%"
