"日期","收市","開市","高","低","成交量","更改%"
"2021年9月24日","34,797.60","34,729.47","34,856.92","34,650.68","246.30M","0.09%"
"2021年9月23日","34,766.00","34,296.30","34,879.78","34,296.30","273.45M","1.48%"
"2021年9月22日","34,258.51","34,006.87","34,439.59","34,006.87","285.49M","0.99%"
"2021年9月21日","33,922.54","34,125.88","34,312.14","33,918.58","292.77M","-0.14%"
"2021年9月20日","33,970.80","34,154.34","34,226.47","33,614.43","405.24M","-1.78%"
"2021年9月17日","34,584.88","34,737.86","34,779.86","34,519.63","577.97M","-0.48%"
"2021年9月16日","34,751.32","34,810.27","34,943.55","34,540.11","279.31M","-0.18%"
"2021年9月15日","34,814.39","34,580.95","34,880.77","34,522.03","324.98M","0.68%"
"2021年9月14日","34,577.57","34,906.90","34,990.36","34,510.30","329.18M","-0.84%"
"2021年9月13日","34,869.63","34,665.50","34,939.10","34,665.50","334.19M","0.76%"
"2021年9月10日","34,607.72","34,949.59","35,104.25","34,599.61","333.23M","-0.78%"
"2021年9月9日","34,879.38","35,013.08","35,199.89","34,847.30","262.38M","-0.43%"
"2021年9月8日","35,031.07","35,087.45","35,175.15","34,925.61","261.88M","-0.20%"
"2021年9月7日","35,100.00","35,373.24","35,373.24","35,060.90","290.73M","-0.76%"
"2021年9月3日","35,369.09","35,401.73","35,422.71","35,269.40","223.39M","-0.21%"
"2021年9月2日","35,443.82","35,353.06","35,475.40","35,348.48","265.18M","0.37%"
"2021年9月1日","35,312.53","35,387.55","35,407.37","35,287.05","266.57M","-0.14%"
"2021年8月31日","35,360.73","35,391.38","35,449.79","35,289.86","337.24M","-0.11%"
"2021年8月30日","35,399.84","35,471.80","35,510.71","35,374.46","246.81M","-0.16%"
"2021年8月27日","35,455.80","35,231.11","35,479.18","35,231.11","242.14M","0.69%"
"2021年8月26日","35,213.12","35,449.68","35,498.45","35,205.10","239.93M","-0.54%"
"2021年8月25日","35,405.50","35,388.77","35,501.14","35,287.63","239.71M","0.11%"
"2021年8月24日","35,366.26","35,382.72","35,445.47","35,356.18","230.48M","0.09%"
"2021年8月23日","35,335.71","35,160.97","35,428.91","35,160.97","250.96M","0.61%"
"2021年8月20日","35,120.08","34,917.96","35,177.26","34,867.07","269.55M","0.65%"
"2021年8月19日","34,894.12","34,874.67","34,997.81","34,690.25","335.05M","-0.19%"
"2021年8月18日","34,960.69","35,310.20","35,356.80","34,943.41","291.06M","-1.08%"
"2021年8月17日","35,343.28","35,500.01","35,500.01","35,120.31","310.15M","-0.79%"
"2021年8月16日","35,625.40","35,490.83","35,631.19","35,231.87","294.01M","0.31%"
"2021年8月13日","35,515.38","35,551.56","35,610.57","35,474.78","238.68M","0.04%"
"2021年8月12日","35,499.85","35,481.94","35,510.77","35,352.53","236.16M","0.04%"
"2021年8月11日","35,484.97","35,300.89","35,501.16","35,300.89","233.04M","0.62%"
"2021年8月10日","35,264.67","35,135.17","35,285.16","35,091.91","255.24M","0.46%"
"2021年8月9日","35,101.85","35,229.67","35,229.67","35,041.24","207.85M","-0.30%"
"2021年8月6日","35,208.51","35,077.44","35,246.79","35,077.44","231.57M","0.41%"
"2021年8月5日","35,064.25","34,815.61","35,067.54","34,815.61","217.39M","0.78%"
"2021年8月4日","34,792.67","35,047.44","35,047.44","34,790.62","245.30M","-0.92%"
"2021年8月3日","35,116.40","34,864.10","35,120.94","34,714.33","259.82M","0.80%"
"2021年8月2日","34,838.16","34,968.56","35,192.11","34,808.20","244.89M","-0.28%"
"2021年7月30日","34,935.47","35,013.26","35,106.30","34,871.13","281.14M","-0.42%"
"2021年7月29日","35,084.53","34,985.99","35,171.52","34,985.99","223.67M","0.44%"
"2021年7月28日","34,930.93","35,109.95","35,116.37","34,876.84","347.17M","-0.36%"
"2021年7月27日","35,058.52","35,078.90","35,078.90","34,878.07","335.25M","-0.24%"
"2021年7月26日","35,144.31","35,055.86","35,150.37","34,950.19","264.80M","0.24%"
"2021年7月23日","35,061.55","34,855.11","35,095.33","34,855.11","315.06M","0.68%"
"2021年7月22日","34,823.35","34,799.68","34,879.28","34,673.03","294.65M","0.07%"
"2021年7月21日","34,798.00","34,556.96","34,820.24","34,556.96","327.19M","0.83%"
"2021年7月20日","34,511.99","33,981.79","34,621.79","33,981.79","388.08M","1.62%"
"2021年7月19日","33,962.04","34,528.48","34,528.48","33,741.76","450.16M","-2.09%"
"2021年7月16日","34,687.85","35,007.94","35,090.01","34,647.82","328.98M","-0.86%"
"2021年7月15日","34,987.02","34,924.81","34,990.41","34,762.87","320.45M","0.15%"
"2021年7月14日","34,933.23","34,920.83","35,069.18","34,826.87","348.66M","0.13%"
"2021年7月13日","34,888.79","34,959.96","35,018.79","34,876.89","323.68M","-0.31%"
"2021年7月12日","34,996.18","34,836.75","35,014.90","34,730.15","302.28M","0.36%"
"2021年7月9日","34,870.16","34,457.51","34,893.72","34,457.51","301.75M","1.30%"
"2021年7月8日","34,421.93","34,569.01","34,569.01","34,145.59","335.76M","-0.75%"
"2021年7月7日","34,681.79","34,604.17","34,708.78","34,435.59","305.38M","0.30%"
"2021年7月6日","34,577.37","34,790.16","34,814.20","34,358.42","348.43M","-0.60%"
"2021年7月2日","34,786.35","34,642.42","34,821.93","34,613.49","303.06M","0.44%"
"2021年7月1日","34,633.53","34,507.32","34,640.28","34,498.85","269.31M","0.38%"
"2021年6月30日","34,502.51","34,290.74","34,553.16","34,245.48","298.63M","0.61%"
"2021年6月29日","34,292.29","34,338.89","34,469.83","34,266.83","288.65M","0.03%"
"2021年6月28日","34,283.27","34,428.10","34,449.65","34,186.13","281.29M","-0.44%"
"2021年6月25日","34,433.84","34,328.10","34,501.02","34,314.80","456.03M","0.69%"
"2021年6月24日","34,196.82","33,933.91","34,233.02","33,933.91","279.38M","0.95%"
"2021年6月23日","33,874.24","33,948.54","34,009.40","33,869.83","257.05M","-0.21%"
"2021年6月22日","33,945.58","33,872.56","34,040.70","33,751.06","285.33M","0.20%"
"2021年6月21日","33,876.97","33,312.07","33,908.09","33,312.07","324.44M","1.76%"
"2021年6月18日","33,290.08","33,622.70","33,622.70","33,271.93","569.38M","-1.58%"
"2021年6月17日","33,823.45","34,014.38","34,091.79","33,626.61","355.92M","-0.62%"
"2021年6月16日","34,033.67","34,308.48","34,333.25","33,917.11","348.03M","-0.77%"
"2021年6月15日","34,299.33","34,397.10","34,420.38","34,199.16","274.13M","-0.27%"
"2021年6月14日","34,393.75","34,472.52","34,472.52","34,211.54","302.55M","-0.25%"
"2021年6月11日","34,479.60","34,499.81","34,618.09","34,328.65","262.62M","0.04%"
"2021年6月10日","34,466.24","34,502.51","34,737.79","34,447.25","310.88M","0.06%"
"2021年6月9日","34,447.14","34,626.16","34,654.67","34,439.37","246.54M","-0.44%"
"2021年6月8日","34,599.82","34,645.84","34,665.38","34,452.94","296.09M","-0.09%"
"2021年6月7日","34,630.24","34,766.20","34,820.91","34,574.51","259.44M","-0.36%"
"2021年6月4日","34,756.39","34,618.69","34,772.12","34,618.69","271.56M","0.52%"
"2021年6月3日","34,577.04","34,550.31","34,667.41","34,334.41","299.74M","-0.07%"
"2021年6月2日","34,600.38","34,614.62","34,706.65","34,545.96","265.16M","0.07%"
"2021年6月1日","34,575.31","34,584.19","34,849.32","34,542.87","294.79M","0.13%"
"2021年5月28日","34,529.45","34,558.50","34,631.11","34,520.09","290.85M","0.19%"
"2021年5月27日","34,464.64","34,432.47","34,608.82","34,389.24","520.63M","0.41%"
"2021年5月26日","34,323.05","34,336.34","34,409.59","34,271.44","259.81M","0.03%"
"2021年5月25日","34,312.46","34,428.66","34,511.35","34,266.03","289.95M","-0.24%"
"2021年5月24日","34,393.98","34,253.87","34,472.51","34,253.87","251.81M","0.54%"
"2021年5月21日","34,207.84","34,121.91","34,415.48","34,121.91","308.84M","0.36%"
"2021年5月20日","34,084.15","33,906.30","34,233.40","33,872.41","324.40M","0.55%"
"2021年5月19日","33,896.04","33,945.81","33,945.81","33,473.80","354.00M","-0.48%"
"2021年5月18日","34,060.66","34,351.18","34,408.99","34,044.10","301.78M","-0.78%"
"2021年5月17日","34,327.79","34,375.29","34,383.84","34,176.65","293.36M","-0.16%"
"2021年5月14日","34,382.13","34,050.86","34,454.05","34,050.86","307.38M","1.06%"
"2021年5月13日","34,021.45","33,624.74","34,181.77","33,623.49","352.81M","1.29%"
"2021年5月12日","33,587.66","34,206.40","34,207.87","33,555.22","383.58M","-1.99%"
"2021年5月11日","34,269.16","34,572.74","34,572.74","34,075.31","413.18M","-1.36%"
"2021年5月10日","34,742.82","34,785.27","35,091.56","34,741.57","370.04M","-0.10%"
"2021年5月7日","34,777.76","34,578.27","34,811.39","34,464.31","311.63M","0.66%"
"2021年5月6日","34,548.53","34,245.11","34,561.29","34,185.06","317.12M","0.93%"
"2021年5月5日","34,230.34","34,163.99","34,331.20","34,039.66","255.81M","0.29%"
"2021年5月4日","34,133.03","34,080.20","34,147.78","33,765.68","410.17M","0.06%"
"2021年5月3日","34,113.23","33,904.89","34,221.06","33,904.89","291.34M","0.70%"
"2021年4月30日","33,874.85","33,988.75","33,988.75","33,784.96","376.11M","-0.54%"
"2021年4月29日","34,060.36","33,855.64","34,087.21","33,744.28","409.60M","0.71%"
"2021年4月28日","33,820.38","33,860.46","33,946.60","33,805.56","353.02M","-0.48%"
"2021年4月27日","33,984.93","33,932.13","34,043.98","33,870.46","294.95M","0.01%"
"2021年4月26日","33,981.57","34,044.23","34,148.94","33,941.37","285.41M","-0.18%"
"2021年4月23日","34,043.49","33,804.52","34,157.57","33,713.29","349.67M","0.67%"
"2021年4月22日","33,815.90","34,109.88","34,126.57","33,717.19","346.58M","-0.94%"
"2021年4月21日","34,137.31","33,808.30","34,160.34","33,773.80","293.51M","0.93%"
"2021年4月20日","33,821.30","34,034.18","34,034.18","33,687.01","354.20M","-0.75%"
"2021年4月19日","34,077.63","34,182.38","34,182.38","33,980.56","315.62M","-0.36%"
"2021年4月16日","34,200.67","34,058.16","34,256.75","34,058.16","348.18M","0.48%"
"2021年4月15日","34,035.99","33,788.53","34,068.73","33,788.53","321.83M","0.90%"
"2021年4月14日","33,730.89","33,668.95","33,911.25","33,668.95","318.67M","0.16%"
"2021年4月13日","33,677.27","33,721.16","33,741.64","33,545.84","330.00M","-0.20%"
"2021年4月12日","33,745.40","33,775.06","33,786.19","33,665.54","329.02M","-0.16%"
"2021年4月9日","33,800.60","33,526.19","33,810.87","33,526.19","317.82M","0.89%"
"2021年4月8日","33,503.57","33,469.89","33,506.80","33,342.64","306.19M","0.17%"
"2021年4月7日","33,446.26","33,444.98","33,521.76","33,347.96","279.88M","0.05%"
"2021年4月6日","33,430.24","33,500.02","33,544.79","33,380.43","298.31M","-0.29%"
"2021年4月5日","33,527.19","33,222.38","33,617.95","33,222.38","345.15M","1.13%"
"2021年4月1日","33,153.21","33,054.58","33,167.17","32,985.35","318.34M","0.52%"
